Time,rnti,SFN,elapsed,CFI,RBmeanllr,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1698072539786,65535,7385,0.44,3,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539806,65535,7405,0.27,2,1.59,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539810,65534,7409,0.52,3,1.39,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539826,65535,7425,0.38,2,1.51,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539841,65535,7440,0.48,2,1.68,2.0,0.0,0.0,1,11,-2,376,-2,30,3
1698072539846,65535,7445,0.41,2,1.45,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539850,65534,7449,0.56,2,1.35,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539866,65535,7465,0.44,3,1.63,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539870,65534,7469,0.25,2,1.49,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539886,65535,7485,0.32,3,1.51,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539890,65534,7489,0.3,2,1.44,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539892,1571,7491,0.53,2,1.17,0.0,52.0,15.0,1,12,-2,776,-2,4,4
1698072539906,65535,7505,0.53,2,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539910,65534,7509,0.38,2,1.47,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539920,1571,7519,0.31,2,1.12,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072539921,65535,7520,0.38,3,1.62,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072539925,1571,7524,0.46,2,1.03,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072539926,65535,7525,0.59,3,1.55,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072539930,65534,7529,0.63,2,1.43,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072539934,1571,7533,0.88,2,1.12,0.0,52.0,15.0,1,31,-2,968,-2,3,4
1698072539941,1571,7540,0.36,3,1.24,0.0,52.0,15.0,1,2,-2,648,-2,15,4
1698072539946,65535,7545,0.37,2,1.53,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539952,1571,7551,0.78,3,1.15,0.0,52.0,15.0,1,11,-2,872,-2,5,4
1698072539955,1571,7554,0.52,2,1.36,0.0,52.0,15.0,1,11,-2,872,-2,5,4
1698072539957,1571,7556,0.78,3,1.4,0.0,52.0,15.0,1,6,-2,808,-2,8,4
1698072539959,1571,7558,0.57,2,1.25,6.0,52.0,15.0,1,13,-2,1160,-2,3,4
1698072539960,1571,7559,0.58,2,1.2,6.0,52.0,15.0,2,19,13,1800,1160,3,4
1698072539961,1571,7560,0.61,2,1.56,0.0,52.0,15.0,1,9,-2,936,-2,6,4
1698072539966,65535,7565,0.27,2,1.47,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072539968,1571,7567,0.58,1,1.29,6.0,52.0,15.0,2,31,30,1800,1160,3,4
1698072539969,1571,7568,0.27,2,1.15,6.0,52.0,15.0,2,18,10,1736,904,3,4
1698072539970,65534,7569,0.85,2,1.31,2.0,0.0,0.0,1,1,-2,56,-2,6,2
