Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257033747,65535,6345,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033748,31355,6346,0.0,29.0,3.0,1,27,-2,2536,-2,4,6
1666257033752,54519,6350,6.0,48.0,8.0,1,7,-2,904,-2,4,8
1666257033767,65535,6365,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033767,31355,6365,6.0,29.0,3.0,1,3,-2,392,-2,4,6
1666257033769,31355,6367,0.0,29.0,3.0,1,28,-2,2984,-2,4,6
1666257033771,65534,6369,2.0,0.0,0.0,1,5,-2,144,-2,6,2
1666257033772,19379,6370,0.0,25.0,4.0,1,29,-2,0,-2,1,5
1666257033775,31355,6373,6.0,29.0,3.0,1,13,-2,1544,-2,4,6
1666257033775,31355,6373,0.0,29.0,3.0,1,28,-2,712,-2,1,6
1666257033777,31355,6375,6.0,29.0,3.0,1,2,-2,256,-2,4,6
1666257033778,2,6376,2.0,0.0,0.0,1,1,-2,56,-2,3,1
1666257033787,54519,6385,6.0,48.0,8.0,1,13,-2,26416,-2,67,8
1666257033787,65535,6385,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033788,54519,6386,0.0,48.0,8.0,1,13,-2,904,-2,4,8
1666257033788,54519,6386,6.0,48.0,8.0,1,13,-2,28336,-2,71,8
1666257033788,31355,6386,0.0,29.0,3.0,1,27,-2,2536,-2,4,6
1666257033789,54519,6387,6.0,48.0,8.0,1,14,-2,32856,-2,75,8
1666257033790,54519,6388,6.0,48.0,8.0,1,7,-2,4584,-2,20,8
1666257033791,18863,6389,2.0,27.0,2.0,1,0,-2,328,-2,12,4
1666257033798,54519,6396,0.0,48.0,8.0,1,15,-2,1128,-2,4,8
1666257033799,18863,6397,0.0,27.0,2.0,1,5,-2,680,-2,8,4
1666257033803,18863,6401,0.0,27.0,2.0,1,5,-2,328,-2,4,4
1666257033803,65535,6401,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033805,54519,6403,0.0,48.0,8.0,1,18,-2,1064,-2,3,8
1666257033807,18863,6405,0.0,27.0,2.0,1,30,-2,328,-2,8,4
1666257033807,65535,6405,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033811,65534,6409,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257033814,65535,6412,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033815,18863,6413,0.0,27.0,2.0,1,31,-2,328,-2,8,4
1666257033816,31355,6414,6.0,29.0,3.0,1,2,-2,256,-2,4,6
1666257033817,31355,6415,6.0,29.0,3.0,1,13,-2,1544,-2,4,6
1666257033818,54519,6416,0.0,48.0,8.0,1,17,-2,1288,-2,4,8
1666257033819,18863,6417,0.0,27.0,2.0,1,20,-2,840,-2,2,4
1666257033822,65535,6420,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257033823,18863,6421,6.0,27.0,2.0,1,0,-2,88,-2,4,4
1666257033827,54519,6425,6.0,48.0,8.0,1,8,-2,1000,-2,4,8
1666257033827,65535,6425,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033827,18863,6425,0.0,27.0,2.0,1,20,-2,840,-2,2,4
1666257033838,54519,6436,0.0,48.0,8.0,1,17,-2,1288,-2,4,8
1666257033842,65535,6440,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257033845,54519,6443,0.0,48.0,8.0,1,15,-2,8504,-2,30,8
1666257033846,54519,6444,0.0,48.0,8.0,1,24,-2,520,-2,1,8
1666257033847,31355,6445,6.0,29.0,3.0,1,12,-2,1416,-2,4,6
1666257033847,65535,6445,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033850,18863,6448,6.0,27.0,2.0,1,15,-2,1864,-2,4,4
1666257033851,65534,6449,2.0,0.0,0.0,1,1,-2,56,-2,3,2
1666257033853,54519,6451,0.0,48.0,8.0,1,30,-2,520,-2,30,8
1666257033858,31355,6456,0.0,29.0,3.0,1,26,-2,2408,-2,4,6
1666257033858,18863,6456,0.0,27.0,2.0,1,26,-2,1192,-2,2,4
1666257033860,18863,6458,0.0,27.0,2.0,1,27,-2,616,-2,1,4
1666257033862,65535,6460,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033865,31355,6463,0.0,29.0,3.0,1,28,-2,4392,-2,6,6
1666257033867,31355,6465,6.0,29.0,3.0,2,27,27,4008,4008,4,6
1666257033867,65535,6465,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033867,54519,6465,6.0,48.0,8.0,1,7,-2,904,-2,4,8
1666257033873,31355,6471,0.0,29.0,3.0,1,30,-2,4392,-2,6,6
1666257033873,18863,6471,0.0,27.0,2.0,1,26,-2,2408,-2,4,4
1666257033876,54519,6474,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257033878,54519,6476,0.0,48.0,8.0,1,24,-2,2152,-2,4,8
1666257033882,65535,6480,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257033882,18863,6480,6.0,27.0,2.0,1,0,-2,88,-2,4,4
1666257033883,18863,6481,6.0,27.0,2.0,1,1,-2,176,-2,4,4
1666257033886,54519,6484,0.0,48.0,8.0,1,30,-2,2152,-2,4,8
1666257033887,31355,6485,6.0,29.0,3.0,1,11,-2,1288,-2,4,6
1666257033887,65535,6485,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033891,31355,6489,6.0,29.0,3.0,1,8,-2,1000,-2,4,6
1666257033891,18863,6489,0.0,27.0,2.0,1,26,-2,584,-2,1,4
1666257033893,54519,6491,0.0,48.0,8.0,1,18,-2,1800,-2,5,8
1666257033898,18863,6496,0.0,27.0,2.0,1,27,-2,1256,-2,2,4
1666257033900,31355,6498,0.0,29.0,3.0,1,27,-2,616,-2,1,6
1666257033901,54519,6499,0.0,48.0,8.0,1,30,-2,1800,-2,5,8
1666257033902,31355,6500,0.0,29.0,3.0,1,27,-2,616,-2,1,6
1666257033904,31355,6502,0.0,29.0,3.0,1,27,-2,616,-2,1,6
1666257033906,31355,6504,0.0,29.0,3.0,1,24,-2,520,-2,1,6
1666257033907,65535,6505,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033908,18863,6506,0.0,27.0,2.0,1,27,-2,1256,-2,2,4
1666257033910,31355,6508,0.0,29.0,3.0,1,27,-2,616,-2,1,6
1666257033918,54519,6516,0.0,48.0,8.0,1,17,-2,1288,-2,4,8
1666257033918,31355,6516,0.0,29.0,3.0,1,26,-2,2408,-2,4,6
1666257033919,18863,6517,6.0,27.0,2.0,1,2,-2,256,-2,4,4
1666257033920,31355,6518,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257033922,54519,6520,6.0,48.0,8.0,1,6,-2,1608,-2,8,8
1666257033923,18863,6521,0.0,27.0,2.0,1,27,-2,2536,-2,4,4
1666257033925,54519,6523,6.0,48.0,8.0,1,14,-2,1736,-2,4,8
1666257033927,31355,6525,6.0,29.0,3.0,1,12,-2,1416,-2,4,6
1666257033927,65535,6525,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033928,31355,6526,6.0,29.0,3.0,1,2,-2,256,-2,4,6
1666257033931,18863,6529,6.0,27.0,2.0,1,2,-2,256,-2,4,4
1666257033931,65534,6529,2.0,0.0,0.0,1,1,-2,56,-2,3,2
1666257033932,19379,6530,0.0,25.0,4.0,1,29,-2,0,-2,2,5
1666257033936,31355,6534,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257033947,65535,6545,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033950,54519,6548,6.0,48.0,8.0,1,7,-2,8248,-2,36,8
1666257033956,31355,6554,0.0,29.0,3.0,1,27,-2,1256,-2,2,6
1666257033963,65535,6561,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033965,31355,6563,6.0,29.0,3.0,1,11,-2,1288,-2,4,6
1666257033967,65535,6565,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033968,54519,6566,0.0,48.0,8.0,1,24,-2,2152,-2,4,8
1666257033974,65535,6572,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257033976,54519,6574,0.0,48.0,8.0,1,30,-2,2152,-2,4,8
1666257033982,65535,6580,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257033984,54519,6582,0.0,48.0,8.0,1,22,-2,2792,-2,6,8
1666257033987,65535,6585,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257033992,54519,6590,0.0,48.0,8.0,1,30,-2,2792,-2,6,8
1666257034000,54519,6598,0.0,48.0,8.0,1,21,-2,3496,-2,8,8
1666257034002,65535,6600,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257034007,31355,6605,6.0,29.0,3.0,2,25,25,6456,6456,8,6
1666257034007,65535,6605,2.0,0.0,0.0,1,6,-2,176,-2,4,3
